Collector,Time,Max Diversity AS,Max Unique Paths,Max AS Prefixes,Highest Avg Diversity AS,Avg Unique Paths,Avg AS Prefixes
rrc03,2024-02-01 00:25,209650,21,2742,8283,3.41,2862
rrc04,2024-02-01 00:25,15547,13,3119,15547,2.36,3119
rrc05,2024-02-01 00:25,51184,16,3247,51184,3.69,3247
rrc06,2024-02-01 00:25,59105,15,2133,59105,2.95,2133
rrc07,2024-02-01 00:25,6667,12,3171,6667,3.25,3171
rrc10,2024-02-01 00:25,20811,15,3243,20811,3.25,3243
rrc11,2024-02-01 00:25,199524,10,2278,14061,2.85,2766
rrc13,2024-02-01 00:25,41722,13,3052,41722,3.25,3052
rrc14,2024-02-01 00:25,14061,11,6511,7575,2.39,2619
rrc20,2024-02-01 00:25,20612,22,3789,12307,3.83,3014
rrc21,2024-02-01 00:25,34019,16,3928,199524,3.12,2665
rrc22,2024-02-01 00:25,31554,8,6161,56430,2.38,3066
rrc23,2024-02-01 00:25,18106,16,2316,18106,3.76,2316
rrc24,2024-02-01 00:25,270014,15,2890,270014,3.39,2890
rrc25,2024-02-01 00:25,212123,26,6463,29049,4.26,3516
rrc26,2024-02-01 00:25,49544,12,2761,49544,2.82,2761
rrc00,2024-02-01 00:30,44393,27,2670,202365,4.1,4520
rrc01,2024-02-01 00:30,62167,18,3471,62167,3.48,3471
rrc03,2024-02-01 00:30,8283,22,2955,8283,3.62,2955
rrc04,2024-02-01 00:30,15547,13,3206,15547,2.39,3206
rrc05,2024-02-01 00:30,51184,19,3332,51184,3.87,3332
rrc06,2024-02-01 00:30,59105,15,2218,59105,2.95,2218
rrc07,2024-02-01 00:30,6667,12,3264,6667,3.36,3264
rrc10,2024-02-01 00:30,20811,15,3328,20811,3.3,3328
rrc11,2024-02-01 00:30,199524,11,2363,14061,2.94,2849
rrc13,2024-02-01 00:30,41722,13,3265,41722,3.19,3265
rrc14,2024-02-01 00:30,14061,11,6625,7575,2.42,2708
rrc20,2024-02-01 00:30,12307,23,3108,12307,3.98,3108
rrc21,2024-02-01 00:30,34019,16,4039,199524,3.17,2744
rrc22,2024-02-01 00:30,31554,8,6242,56430,2.39,3175
rrc23,2024-02-01 00:30,18106,16,2426,18106,3.85,2426
rrc24,2024-02-01 00:30,270014,15,2962,270014,3.5,2962
rrc25,2024-02-01 00:30,212123,28,6555,29049,4.42,3606
rrc26,2024-02-01 00:30,49544,12,2866,49544,2.97,2866
rrc00,2024-02-01 00:35,44393,27,3062,202365,4.14,4774
rrc01,2024-02-01 00:35,62167,19,3606,62167,3.54,3606
