AS1,AS2,Prefix
2914,174,41.63.56.0/22
174,36944,41.63.56.0/22
36944,37532,41.63.56.0/22
START,4777,85.133.204.0/22
4777,2516,85.133.204.0/22
2516,3491,85.133.204.0/22
3491,12880,85.133.204.0/22
12880,44285,85.133.204.0/22
44285,21341,85.133.204.0/22
21341,39074,85.133.204.0/22
START,4777,85.133.172.0/22
4777,2516,85.133.172.0/22
2516,3491,85.133.172.0/22
3491,12880,85.133.172.0/22
12880,44285,85.133.172.0/22
44285,21341,85.133.172.0/22
21341,39074,85.133.172.0/22
START,4777,85.133.236.0/22
4777,2516,85.133.236.0/22
2516,3491,85.133.236.0/22
3491,12880,85.133.236.0/22
12880,44285,85.133.236.0/22
44285,21341,85.133.236.0/22
21341,39074,85.133.236.0/22
START,4777,69.174.82.0/23
4777,2516,69.174.82.0/23
2516,3257,69.174.82.0/23
3257,53321,69.174.82.0/23
START,4777,85.133.172.0/22
4777,2516,85.133.172.0/22
2516,6453,85.133.172.0/22
6453,8529,85.133.172.0/22
8529,12880,85.133.172.0/22
12880,44285,85.133.172.0/22
44285,21341,85.133.172.0/22
21341,39074,85.133.172.0/22
START,4777,85.133.204.0/22
4777,2516,85.133.204.0/22
2516,6453,85.133.204.0/22
6453,8529,85.133.204.0/22
8529,12880,85.133.204.0/22
12880,44285,85.133.204.0/22
44285,21341,85.133.204.0/22
21341,39074,85.133.204.0/22
START,4777,85.133.164.0/22
4777,2516,85.133.164.0/22
2516,6453,85.133.164.0/22
6453,8529,85.133.164.0/22
8529,12880,85.133.164.0/22
12880,44285,85.133.164.0/22
44285,21341,85.133.164.0/22
21341,39074,85.133.164.0/22
START,3333,178.168.4.0/24
3333,8218,178.168.4.0/24
8218,3223,178.168.4.0/24
3223,31252,178.168.4.0/24
START,3333,46.102.154.0/24
3333,8218,46.102.154.0/24
8218,3223,46.102.154.0/24
3223,31252,46.102.154.0/24
START,3333,87.248.160.0/24
3333,8218,87.248.160.0/24
8218,3223,87.248.160.0/24
3223,31252,87.248.160.0/24
START,3333,104.143.9.0/24
3333,8218,104.143.9.0/24
8218,3223,104.143.9.0/24
3223,62956,104.143.9.0/24
62956,53340,104.143.9.0/24
53340,36114,104.143.9.0/24
START,3333,72.46.150.0/24
3333,8218,72.46.150.0/24
8218,3223,72.46.150.0/24
3223,62956,72.46.150.0/24
62956,53340,72.46.150.0/24
53340,36114,72.46.150.0/24
START,3333,72.46.151.0/24
3333,8218,72.46.151.0/24
8218,3223,72.46.151.0/24
3223,62956,72.46.151.0/24
62956,53340,72.46.151.0/24
53340,36114,72.46.151.0/24
START,3333,104.238.195.0/24
3333,8218,104.238.195.0/24
8218,3223,104.238.195.0/24
3223,62956,104.238.195.0/24
62956,53340,104.238.195.0/24
53340,36114,104.238.195.0/24
START,3333,72.46.154.0/24
3333,8218,72.46.154.0/24
8218,3223,72.46.154.0/24
3223,62956,72.46.154.0/24
62956,53340,72.46.154.0/24
53340,36114,72.46.154.0/24
START,3333,104.194.0.0/24
3333,8218,104.194.0.0/24
8218,3223,104.194.0.0/24
3223,62956,104.194.0.0/24
62956,53340,104.194.0.0/24
53340,36114,104.194.0.0/24
START,3333,104.238.192.0/24
3333,8218,104.238.192.0/24
8218,3223,104.238.192.0/24
3223,62956,104.238.192.0/24
62956,53340,104.238.192.0/24
53340,36114,104.238.192.0/24
START,3333,208.66.73.0/24
3333,8218,208.66.73.0/24
8218,3223,208.66.73.0/24
3223,62956,208.66.73.0/24
62956,53340,208.66.73.0/24
53340,36114,208.66.73.0/24
START,3333,76.164.208.0/24
3333,8218,76.164.208.0/24
8218,3223,76.164.208.0/24
3223,62956,76.164.208.0/24
62956,53340,76.164.208.0/24
53340,36114,76.164.208.0/24
START,3257,204.28.10.0/23
3257,53321,204.28.10.0/23
START,3333,185.71.64.0/24
3333,8218,185.71.64.0/24
8218,3223,185.71.64.0/24
3223,59796,185.71.64.0/24
START,3333,185.71.66.0/24
3333,8218,185.71.66.0/24
8218,3223,185.71.66.0/24
3223,59796,185.71.66.0/24
START,3333,188.93.237.0/24
3333,8218,188.93.237.0/24
8218,3223,188.93.237.0/24
3223,60033,188.93.237.0/24
60033,49349,188.93.237.0/24
START,3333,216.205.248.0/22
3333,1273,216.205.248.0/22
1273,3356,216.205.248.0/22
3356,701,216.205.248.0/22
701,20374,216.205.248.0/22
START,7018,216.205.248.0/22
7018,701,216.205.248.0/22
701,20374,216.205.248.0/22
START,7018,41.63.52.0/22
7018,174,41.63.52.0/22
174,36944,41.63.52.0/22
36944,37532,41.63.52.0/22
START,7018,41.63.16.0/22
7018,174,41.63.16.0/22
174,36944,41.63.16.0/22
36944,37532,41.63.16.0/22
START,7018,85.133.172.0/22
7018,3491,85.133.172.0/22
3491,12880,85.133.172.0/22
12880,44285,85.133.172.0/22
44285,21341,85.133.172.0/22
21341,39074,85.133.172.0/22
START,7018,85.133.204.0/22
7018,3491,85.133.204.0/22
3491,12880,85.133.204.0/22
12880,44285,85.133.204.0/22
44285,21341,85.133.204.0/22
21341,39074,85.133.204.0/22
START,7018,85.133.236.0/22
7018,3491,85.133.236.0/22
3491,12880,85.133.236.0/22
12880,44285,85.133.236.0/22
44285,21341,85.133.236.0/22
21341,39074,85.133.236.0/22
START,3333,216.205.252.0/24
3333,1103,216.205.252.0/24
1103,286,216.205.252.0/24
286,701,216.205.252.0/24
701,20374,216.205.252.0/24
START,3333,41.63.52.0/22
3333,1299,41.63.52.0/22
1299,174,41.63.52.0/22
174,36944,41.63.52.0/22
36944,37532,41.63.52.0/22
START,3333,41.63.56.0/22
3333,1299,41.63.56.0/22
1299,174,41.63.56.0/22
174,36944,41.63.56.0/22
36944,37532,41.63.56.0/22
START,3333,85.133.236.0/22
3333,8218,85.133.236.0/22
8218,3491,85.133.236.0/22
3491,12880,85.133.236.0/22
12880,44285,85.133.236.0/22
44285,21341,85.133.236.0/22
21341,39074,85.133.236.0/22
START,3333,85.133.164.0/22
3333,8218,85.133.164.0/22
8218,3491,85.133.164.0/22
3491,12880,85.133.164.0/22
12880,44285,85.133.164.0/22
44285,21341,85.133.164.0/22
21341,39074,85.133.164.0/22
START,3333,85.133.172.0/22
3333,8218,85.133.172.0/22
8218,3491,85.133.172.0/22
3491,12880,85.133.172.0/22
12880,44285,85.133.172.0/22
44285,21341,85.133.172.0/22
21341,39074,85.133.172.0/22
START,3333,109.163.230.0/23
3333,8218,109.163.230.0/23
8218,3223,109.163.230.0/23
START,3333,109.163.225.0/24
3333,8218,109.163.225.0/24
8218,3223,109.163.225.0/24
START,3333,109.163.226.0/23
3333,8218,109.163.226.0/23
8218,3223,109.163.226.0/23
START,3333,195.60.76.0/23
3333,8218,195.60.76.0/23
8218,3223,195.60.76.0/23
START,3333,5.254.120.0/23
3333,8218,5.254.120.0/23
8218,3223,5.254.120.0/23
START,3333,77.81.164.0/23
3333,8218,77.81.164.0/23
8218,3223,77.81.164.0/23
START,3333,5.254.92.0/22
3333,8218,5.254.92.0/22
8218,3223,5.254.92.0/22
START,3333,5.254.64.0/20
3333,8218,5.254.64.0/20
8218,3223,5.254.64.0/20
START,3333,109.163.234.0/23
3333,8218,109.163.234.0/23
8218,3223,109.163.234.0/23
START,3333,93.115.92.0/22
3333,8218,93.115.92.0/22
8218,3223,93.115.92.0/22
START,3333,93.115.80.0/21
3333,8218,93.115.80.0/21
8218,3223,93.115.80.0/21
START,3333,185.5.175.0/24
3333,8218,185.5.175.0/24
8218,3223,185.5.175.0/24
START,3333,109.163.228.0/24
3333,8218,109.163.228.0/24
8218,3223,109.163.228.0/24
START,3333,109.163.233.0/24
3333,8218,109.163.233.0/24
8218,3223,109.163.233.0/24
START,3333,91.233.249.0/24
3333,8218,91.233.249.0/24
8218,3223,91.233.249.0/24
START,3333,5.254.117.0/24
3333,8218,5.254.117.0/24
8218,3223,5.254.117.0/24
START,3333,89.40.16.0/22
3333,8218,89.40.16.0/22
8218,3223,89.40.16.0/22
START,3333,93.114.40.0/21
3333,8218,93.114.40.0/21
8218,3223,93.114.40.0/21
START,3333,37.221.170.0/23
3333,8218,37.221.170.0/23
8218,3223,37.221.170.0/23
START,3333,109.163.229.0/24
3333,8218,109.163.229.0/24
8218,3223,109.163.229.0/24
START,3333,85.133.164.0/22
3333,1257,85.133.164.0/22
1257,3491,85.133.164.0/22
3491,12880,85.133.164.0/22
12880,44285,85.133.164.0/22
44285,21341,85.133.164.0/22
21341,39074,85.133.164.0/22
START,3333,85.133.236.0/22
3333,1257,85.133.236.0/22
1257,3491,85.133.236.0/22
3491,12880,85.133.236.0/22
12880,44285,85.133.236.0/22
44285,21341,85.133.236.0/22
21341,39074,85.133.236.0/22
START,3333,85.133.204.0/22
3333,1257,85.133.204.0/22
1257,3491,85.133.204.0/22
3491,12880,85.133.204.0/22
12880,44285,85.133.204.0/22
44285,21341,85.133.204.0/22
21341,39074,85.133.204.0/22
START,3333,77.81.164.0/24
3333,8218,77.81.164.0/24
8218,3223,77.81.164.0/24
START,3333,37.221.164.0/24
3333,8218,37.221.164.0/24
8218,3223,37.221.164.0/24
START,3333,5.254.120.0/24
3333,8218,5.254.120.0/24
8218,3223,5.254.120.0/24
START,3333,46.8.37.0/24
3333,8218,46.8.37.0/24
8218,3223,46.8.37.0/24
START,3333,89.40.16.0/24
3333,8218,89.40.16.0/24
8218,3223,89.40.16.0/24
START,3333,93.114.41.0/24
3333,8218,93.114.41.0/24
8218,3223,93.114.41.0/24
START,3333,5.254.93.0/24
3333,8218,5.254.93.0/24
8218,3223,5.254.93.0/24
START,3333,93.114.46.0/24
3333,8218,93.114.46.0/24
8218,3223,93.114.46.0/24
START,3333,89.40.104.0/23
3333,8218,89.40.104.0/23
8218,3223,89.40.104.0/23
START,3333,5.254.91.0/24
3333,8218,5.254.91.0/24
8218,3223,5.254.91.0/24
START,3333,37.156.32.0/24
3333,8218,37.156.32.0/24
8218,3223,37.156.32.0/24
START,3333,89.40.17.0/24
3333,8218,89.40.17.0/24
8218,3223,89.40.17.0/24
START,3333,37.156.33.0/24
3333,8218,37.156.33.0/24
8218,3223,37.156.33.0/24
START,3333,89.45.89.0/24
3333,8218,89.45.89.0/24
8218,3223,89.45.89.0/24
START,3333,5.254.65.0/24
3333,8218,5.254.65.0/24
8218,3223,5.254.65.0/24
START,3333,93.114.42.0/24
3333,8218,93.114.42.0/24
8218,3223,93.114.42.0/24
START,3333,5.254.92.0/24
3333,8218,5.254.92.0/24
8218,3223,5.254.92.0/24
START,3333,37.221.167.0/24
3333,8218,37.221.167.0/24
8218,3223,37.221.167.0/24
START,3333,93.114.45.0/24
3333,8218,93.114.45.0/24
8218,3223,93.114.45.0/24
START,3333,77.81.165.0/24
3333,8218,77.81.165.0/24
8218,3223,77.81.165.0/24
START,3333,5.254.95.0/24
3333,8218,5.254.95.0/24
8218,3223,5.254.95.0/24
