Time,Max Diversity AS,Max Unique Paths,Max AS Prefixes,Highest Avg Diversity AS,Avg Unique Paths,Avg AS Prefixes
2024-01-01 00:00,58057,12,162,58057,2.35,162
2024-01-01 00:01,58057,12,255,37989,3.04,120
2024-01-01 00:02,58057,14,401,37989,3.01,141
2024-01-01 00:03,58057,15,427,37989,3.53,178
2024-01-01 00:04,58057,16,450,37989,3.65,185
2024-01-01 00:05,202365,16,768,37989,3.58,195
2024-01-01 00:06,202365,16,793,37989,3.41,216
2024-01-01 00:07,202365,16,897,58057,3.29,533
2024-01-01 00:08,58057,17,1009,37989,2.92,1738
2024-01-01 00:09,58057,17,1017,37989,2.93,1765
2024-01-01 00:10,58057,17,1030,37989,2.93,1771
2024-01-01 00:11,58057,17,1050,37989,2.92,1779
2024-01-01 00:12,58057,17,1068,37989,2.92,1795
2024-01-01 00:13,58057,17,1350,37989,2.91,1851
2024-01-01 00:14,58057,17,1450,34927,2.97,1651
2024-01-01 00:15,58057,17,1461,34927,2.96,1663
2024-01-01 00:16,58057,17,1464,37989,2.96,1952
2024-01-01 00:17,58057,17,1536,34927,2.97,1746
2024-01-01 00:18,58057,17,1537,34927,3.0,1760
2024-01-01 00:19,58057,17,1541,34927,2.99,1774
2024-01-01 00:20,58057,17,1542,34927,2.99,1777
2024-01-01 00:21,58057,17,1818,34927,3.0,1787
2024-01-01 00:22,44103,17,1613,37989,3.04,2093
2024-01-01 00:23,44103,17,1615,37989,3.15,2140
2024-01-01 00:24,44103,17,1619,37989,3.15,2144
2024-01-01 00:25,202365,17,2782,37989,3.11,2202
2024-01-01 00:26,202365,18,2789,34927,3.12,1904
2024-01-01 00:27,202365,18,2863,34927,3.19,1907
2024-01-01 00:28,202365,18,2912,34927,3.25,1954
2024-01-01 00:29,202365,18,2918,34927,3.26,1960
