Time,Max Diversity AS,Max Unique Paths,Max AS Prefixes,Highest Avg Diversity AS,Avg Unique Paths,Avg AS Prefixes
2024-01-01 00:00,58057,12,162,58057,2.35,162
2024-01-01 00:01,58057,12,255,37989,3.04,120
2024-01-01 00:02,58057,14,401,37989,3.01,141
2024-01-01 00:03,58057,15,427,37989,3.53,178
2024-01-01 00:04,58057,16,450,37989,3.65,185
2024-01-01 00:05,202365,16,768,37989,3.58,195
2024-01-01 00:06,202365,16,793,37989,3.41,216
2024-01-01 00:07,202365,16,897,58057,3.29,533
2024-01-01 00:08,58057,17,1009,37989,2.92,1738
2024-01-01 00:09,58057,17,1017,37989,2.93,1765
