Time,Max Diversity AS,Max Unique Paths,Max AS Prefixes,Highest Avg Diversity AS,Avg Unique Paths,Avg AS Prefixes
2024-02-01 00:00,202365,19,3570,34927,3.52,3504
2024-02-01 00:15,202365,23,4426,202365,3.97,4426
2024-02-01 00:30,44393,27,10279,34927,4.04,4836
2024-02-01 00:45,44393,33,24445,34927,3.33,8468
2024-02-01 01:00,44393,33,105258,202365,3.23,11842
2024-02-01 01:15,44393,34,107159,202365,3.35,12248
2024-02-01 01:30,44393,36,201068,202365,3.43,12972
2024-02-01 01:45,44393,36,204725,44103,3.06,10704
2024-02-01 02:00,44393,36,227132,44103,3.08,11461
2024-02-01 02:15,44393,40,229925,44103,3.12,11752
2024-02-01 02:30,44393,40,233545,44103,3.15,12131
2024-02-01 02:45,44393,41,234844,44103,3.18,12348
2024-02-01 03:00,44393,41,235708,44103,3.24,12973
2024-02-01 03:15,44393,41,236037,44103,3.27,13780
2024-02-01 03:30,44393,41,236234,44103,2.9,17865
2024-02-01 03:45,44393,44,236421,44103,2.93,18114
2024-02-01 04:00,44393,44,236768,44103,2.94,18750
2024-02-01 04:15,44393,45,236968,44103,2.95,19101
2024-02-01 04:30,44393,45,237310,44103,2.99,19381
2024-02-01 04:45,44393,46,237388,44103,3.05,19501
2024-02-01 05:00,44393,46,237690,44103,3.05,19903
2024-02-01 05:15,44393,46,239876,44103,3.03,21364
2024-02-01 05:30,44393,46,240589,44103,3.02,22688
2024-02-01 05:45,44393,46,240740,44103,3.05,23029
2024-02-01 06:00,44393,46,243052,44103,3.05,25523
2024-02-01 06:15,44393,46,244370,44103,3.03,26423
2024-02-01 06:30,44393,46,244572,44103,3.07,26786
2024-02-01 06:45,44393,46,244804,44103,3.13,27407
2024-02-01 07:00,44393,46,245280,44103,3.12,28578
2024-02-01 07:15,44393,46,246015,44103,3.16,29092
2024-02-01 07:30,44393,46,246246,44103,3.26,29727
2024-02-01 07:45,44393,46,247189,44103,3.27,29851
2024-02-01 08:04,44393,46,825263,58057,1.92,780988
2024-02-01 08:19,44393,46,825316,58057,1.92,781099
2024-02-01 08:34,44393,46,825357,58057,1.92,781159
2024-02-01 08:49,44393,46,826740,58057,1.92,781716
