Time,Max Diversity AS,Max Unique Paths,Max AS Prefixes,Highest Avg Diversity AS,Avg Unique Paths,Avg AS Prefixes
2024-02-01 09:04,44393,46,827603,58057,1.93,781838
2024-02-01 09:19,44393,46,827660,58057,1.93,781894
2024-02-01 09:34,44393,46,827756,58057,1.93,782005
2024-02-01 09:49,44393,46,827842,58057,1.93,782255
2024-02-01 10:04,44393,46,827920,58057,1.93,782349
2024-02-01 10:19,44393,46,828010,58057,1.93,782465
2024-02-01 10:34,44393,46,828073,58057,1.94,782560
2024-02-01 10:49,44393,46,828104,58057,1.94,782614
2024-02-01 11:04,44393,46,828179,58057,1.94,782747
2024-02-01 11:19,44393,46,828232,58057,1.94,782835
2024-02-01 11:34,44393,46,828269,58057,1.94,782876
2024-02-01 11:49,44393,46,828345,58057,1.94,782948
2024-02-01 12:04,44393,46,828822,58057,1.95,783764
2024-02-01 12:19,44393,46,829019,58057,1.95,783913
2024-02-01 12:34,44393,46,829115,58057,1.95,784047
2024-02-01 12:49,44393,46,829198,58057,1.96,784108
2024-02-01 13:04,44393,46,829267,58057,1.96,784172
2024-02-01 13:19,44393,46,829325,58057,1.96,784289
2024-02-01 13:34,44393,46,829385,58057,1.96,784354
2024-02-01 13:49,44393,46,829531,58057,1.97,784624
2024-02-01 14:04,44393,46,829601,58057,1.97,784730
2024-02-01 14:19,44393,46,829679,58057,1.97,784786
2024-02-01 14:34,44393,46,829818,58057,1.97,784874
2024-02-01 14:49,44393,46,829879,58057,1.97,784932
2024-02-01 15:04,44393,46,829929,202365,1.97,804617
2024-02-01 15:19,44393,47,829998,202365,1.97,804703
2024-02-01 15:34,44393,47,830037,58057,1.98,785145
2024-02-01 15:49,44393,48,830134,58057,1.98,785206
2024-02-01 16:04,44393,48,847165,202365,1.98,804953
2024-02-01 16:19,44393,49,847209,202365,1.98,805089
2024-02-01 16:34,44393,49,847244,202365,1.98,805143
2024-02-01 16:49,44393,50,847406,202365,1.98,805385
2024-02-01 17:04,44393,50,847622,202365,1.98,805469
2024-02-01 17:19,44393,51,847658,202365,1.99,805545
2024-02-01 17:34,44393,52,847798,202365,1.99,805649
2024-02-01 17:49,44393,53,847910,202365,2.0,806281
2024-02-01 18:04,44393,58,847939,202365,2.0,806304
2024-02-01 18:19,44393,58,847956,202365,2.0,806346
2024-02-01 18:34,44393,58,847994,202365,2.0,806389
2024-02-01 18:49,44393,58,848032,202365,2.01,806443
2024-02-01 19:04,44393,58,848057,202365,2.01,806470
2024-02-01 19:19,44393,58,848096,202365,2.01,806528
2024-02-01 19:34,44393,58,848125,202365,2.01,806580
2024-02-01 19:49,44393,59,848177,202365,2.01,806625
2024-02-01 20:04,44393,59,848196,202365,2.01,807138
2024-02-01 20:19,44393,61,849720,202365,2.02,807195
2024-02-01 20:34,44393,63,852235,202365,2.02,807219
2024-02-01 20:49,44393,64,864922,202365,2.02,807330
2024-02-01 21:04,44393,64,864948,202365,2.02,807371
2024-02-01 21:19,44393,67,864966,202365,2.02,807388
2024-02-01 21:34,44393,67,864982,202365,2.02,807464
2024-02-01 21:49,44393,67,865004,202365,2.02,807502
2024-02-01 22:04,44393,67,865021,202365,2.03,807545
2024-02-01 22:19,44393,68,865041,202365,2.03,807572
2024-02-01 22:34,44393,69,865093,202365,2.03,807713
2024-02-01 22:49,44393,70,865125,202365,2.03,807817
2024-02-01 23:04,44393,70,865198,202365,2.04,807910
2024-02-01 23:19,44393,70,865235,202365,2.04,807974
2024-02-01 23:34,44393,71,865253,202365,2.04,808030
