Time,Max Diversity AS,Max Unique Paths,Max AS Prefixes,Highest Avg Diversity AS,Avg Unique Paths,Avg AS Prefixes
2024-01-01 00:00,58057,12,162,58057,2.35,162
2024-01-01 00:01,58057,12,255,37989,3.04,120
2024-01-01 00:02,58057,14,401,37989,3.01,141
2024-01-01 00:03,58057,15,427,37989,3.53,178
2024-01-01 00:04,58057,16,450,37989,3.65,185
2024-01-01 00:05,202365,16,768,37989,3.58,195
2024-01-01 00:06,202365,16,793,37989,3.41,216
2024-01-01 00:07,202365,16,897,58057,3.29,533
2024-01-01 00:08,58057,17,1009,37989,2.92,1738
2024-01-01 00:09,58057,17,1017,37989,2.93,1765
2024-01-01 00:10,58057,17,1030,37989,2.93,1771
2024-01-01 00:11,58057,17,1050,37989,2.92,1779
2024-01-01 00:12,58057,17,1068,37989,2.92,1795
2024-01-01 00:13,58057,17,1350,37989,2.91,1851
2024-01-01 00:14,58057,17,1450,34927,2.97,1651
2024-01-01 00:15,58057,17,1461,34927,2.96,1663
2024-01-01 00:16,58057,17,1464,37989,2.96,1952
2024-01-01 00:17,58057,17,1536,34927,2.97,1746
2024-01-01 00:18,58057,17,1537,34927,3.0,1760
2024-01-01 00:19,58057,17,1541,34927,2.99,1774
2024-01-01 00:20,58057,17,1542,34927,2.99,1777
2024-01-01 00:21,58057,17,1818,34927,3.0,1787
2024-01-01 00:22,44103,17,1613,37989,3.04,2093
2024-01-01 00:23,44103,17,1615,37989,3.15,2140
2024-01-01 00:24,44103,17,1619,37989,3.15,2144
2024-01-01 00:25,202365,17,2782,37989,3.11,2202
2024-01-01 00:26,202365,18,2789,34927,3.12,1904
2024-01-01 00:27,202365,18,2863,34927,3.19,1907
2024-01-01 00:28,202365,18,2912,34927,3.25,1954
2024-01-01 00:29,202365,18,2918,34927,3.26,1960
2024-01-01 00:30,202365,19,2938,34927,3.26,1968
2024-01-01 00:31,202365,19,2949,34927,3.25,1984
2024-01-01 00:32,202365,19,2995,34927,3.28,2008
2024-01-01 00:33,202365,19,3005,34927,3.29,2011
2024-01-01 00:34,202365,19,3008,34927,3.3,2013
2024-01-01 00:35,202365,19,3079,34927,3.25,2084
2024-01-01 00:36,202365,22,3095,34927,3.45,2086
2024-01-01 00:37,202365,22,3117,34927,3.47,2108
2024-01-01 00:38,202365,22,3410,34927,3.49,2111
2024-01-01 00:39,202365,22,3435,34927,3.49,2112
2024-01-01 00:40,202365,22,3439,34927,3.49,2114
2024-01-01 00:41,202365,22,3463,34927,3.47,2134
2024-01-01 00:42,202365,22,3485,34927,3.47,2164
2024-01-01 00:43,202365,22,3561,34927,3.49,2211
2024-01-01 00:44,202365,22,3565,34927,3.5,2217
2024-01-01 00:45,202365,22,3574,34927,3.52,2227
2024-01-01 00:46,44393,23,65682,34927,3.53,2229
2024-01-01 00:47,44393,23,65684,34927,3.53,2231
2024-01-01 00:48,44393,23,65688,34927,3.54,2236
2024-01-01 00:49,44393,23,65693,34927,3.55,2237
2024-01-01 00:50,44393,23,65695,34927,3.55,2240
2024-01-01 00:51,44393,23,65697,34927,3.55,2244
2024-01-01 00:52,44393,24,65708,34927,3.54,2256
2024-01-01 00:53,44393,24,65715,34927,3.55,2261
2024-01-01 00:54,44393,24,69232,34927,3.55,2272
2024-01-01 00:55,44393,24,69240,34927,3.56,2276
2024-01-01 00:56,44393,24,69240,34927,3.56,2277
2024-01-01 00:57,44393,24,69247,34927,3.57,2285
2024-01-01 00:58,44393,24,69281,34927,3.57,2342
2024-01-01 00:59,44393,24,69537,34927,3.57,2369
